plot,year,corner,scale,spcode
206,1998,1,10,melioffi
206,1998,3,10,melioffi
206,1998,NA,100,mimoquad
206,1998,2,0.1,oxaldill
206,1998,3,1,oxaldill
206,1998,4,1,oxaldill
206,1998,1,0.1,panivirg
206,1998,2,10,panivirg
206,1998,3,1,panivirg
206,1998,4,1,panivirg
206,1998,2,10,physpumi
206,1998,3,10,physpumi
206,1998,1,1,physvirg
206,1998,2,10,physvirg
206,1998,3,10,physvirg
206,1998,4,10,physvirg
206,1998,1,0.1,poaprate
206,1998,2,0.1,poaprate
206,1998,3,10,poaprate
206,1998,4,0.01,poaprate
206,1998,1,10,psortenu
206,1998,2,10,psortenu
206,1998,3,0.1,psortenu
206,1998,4,10,psortenu
206,1998,1,10,raticolu
206,1998,2,10,raticolu
206,1998,3,1,raticolu
206,1998,4,1,raticolu
206,1998,2,1,rosacaro
206,1998,2,1,rubuostr
206,1998,3,10,rubuostr
206,1998,4,1,rubuostr
206,1998,NA,100,rudbhirt
206,1998,1,1,ruelhumi
206,1998,2,0.1,ruelhumi
206,1998,3,10,ruelhumi
206,1998,4,0.1,ruelhumi
206,1998,1,10,salvazur
206,1998,4,1,salvazur
206,1998,1,0.01,schiscop
206,1998,2,0.01,schiscop
206,1998,3,0.1,schiscop
206,1998,4,0.01,schiscop
206,1998,2,1,setaparv
206,1998,1,1,sisycamp
206,1998,1,10,solicana
206,1998,3,10,solicana
206,1998,1,1,sorgnuta
206,1998,2,1,sorgnuta
206,1998,3,0.01,sorgnuta
206,1998,4,0.01,sorgnuta
206,1998,2,10,unknspir
206,1998,1,0.1,sporcomp
206,1998,2,0.1,sporcomp
206,1998,3,0.1,sporcomp
206,1998,1,1,stroleio
206,1998,2,1,stroleio
206,1998,4,10,stroleio
206,1998,NA,100,tridflav
206,1998,2,10,unheu206
206,1998,1,10,unnla206
208,1998,2,10,acalgrac
208,1998,1,10,acalvirg
208,1998,2,10,achimill
208,1998,4,10,achimill
208,1998,3,10,allicana
208,1998,1,1,ambrbide
208,1998,1,1,ambrpsil
208,1998,2,1,ambrpsil
208,1998,3,0.1,ambrpsil
208,1998,4,0.01,ambrpsil
208,1998,1,0.1,amphdrac
208,1998,2,1,amphdrac
208,1998,3,10,amphdrac
208,1998,4,10,amphdrac
208,1998,1,0.1,andrgera
208,1998,2,1,andrgera
208,1998,3,1,andrgera
208,1998,4,0.1,andrgera
208,1998,1,1,asclviri
208,1998,2,1,asclviri
208,1998,3,10,asclviri
208,1998,4,10,asclviri
208,1998,1,1,asteeric
208,1998,2,0.01,asteeric
208,1998,3,0.1,asteeric
208,1998,4,1,asteeric
208,1998,4,10,astrcras
208,1998,2,10,briceupa
208,1998,3,10,bromjapo
208,1998,1,10,buchdact
208,1998,2,1,buchdact
208,1998,4,10,callalca
208,1998,1,10,careceph
208,1998,1,10,carefest
208,1998,2,10,caregrav
208,1998,1,0.01,caremicr
208,1998,2,0.01,caremicr
208,1998,3,0.01,caremicr
208,1998,4,0.1,caremicr
208,1998,NA,100,chaetain
208,1998,1,1,chamnuta
208,1998,1,0.1,cirsalti
208,1998,2,1,cirsalti
208,1998,3,1,cirsalti
208,1998,4,0.1,cirsalti
208,1998,3,1,conycana
208,1998,1,0.1,crotmona
208,1998,2,1,crotmona
208,1998,3,1,crotmona
208,1998,4,0.1,crotmona
208,1998,2,1,cuscpent
208,1998,2,0.1,dalecand
